stadiums,capacity,region,country,city,original_stadium_name,location,lat,lon
M&T Bank Stadium,71008,North America,United States,Baltimore,M&T Bank Stadium,"[39.2779734, -76.6226651]",39.2779734,-76.6226651
Mercedes-Benz Stadium,71000,North America,United States,Atlanta - Georgia,Mercedes-Benz Stadium,"[33.7554123, -84.4008493]",33.7554123,-84.4008493
Riyadh Air Metropolitano,70692,Europe,Spain,Madrid,Riyadh Air Metropolitano,"[40.436053, -3.5997158]",40.436053,-3.5997158
Olympic National Sports Complex Stadium,70000,Europe,Ukraine,Kyiv,Olympic National Sports Complex Stadium,"[50.4333967, 30.5230174]",50.4333967,30.5230174
SoFi Stadium,70000,North America,United States,Inglewood - California,SoFi Stadium,"[33.9534073, -118.3390098]",33.9534073,-118.3390098
Seoul Olympic Stadium,69950,East Asia,South Korea,Seoul,Seoul Olympic Stadium,"[37.5158632, 127.0727891]",37.5158632,127.0727891
Bakı Olimpiya stadionu,69870,West Asia,Azerbaijan,Baku,Bakı Olimpiya stadionu,"[40.429982, 49.919531]",40.429982,49.919531
Olympic Stadium,69618,Europe,Greece,Marousi,Olympic Stadium,"[38.0325514, 23.7944433]",38.0325514,23.7944433
Olympiastadion München,69250,Europe,Germany,Munich,Olympiastadion München,"[48.1731314, 11.5464786]",48.1731314,11.5464786
Lumen Field,69000,North America,United States,Seattle - Washington,Lumen Field,"[47.5953459, -122.3316443]",47.5953459,-122.3316443
Estadio Olímpico Universitario,68954,North America,Mexico,Mexico City,Estadio Olímpico Universitario,"[19.3316881, -99.1922864]",19.3316881,-99.1922864
Gillette Stadium,68756,North America,United States,Foxborough - Massachusetts,Gillette Stadium,"[42.0908879, -71.2641731]",42.0908879,-71.2641731
King Abdullah Sports City Stadium,68560,West Asia,Saudi Arabia,Jeddah,King Abdullah Sports City Stadium,"[26.3790481, 43.9477172]",26.3790481,43.9477172
Lincoln Financial Field,68532,North America,United States,Philadelphia,Lincoln Financial Field,"[39.9009099, -75.1674892]",39.9009099,-75.1674892
Levi's Stadium,68500,North America,United States,Santa Clara - California,Levi's Stadium,"[37.4029867, -121.9696489]",37.4029867,-121.9696489
Acrisure Stadium,68400,North America,United States,Pittsburgh,Acrisure Stadium,"[40.4467166, -80.0157199]",40.4467166,-80.0157199
Gazprom Arena,68134,Europe,Russia,Saint Petersburg,Gazprom Arena,"[59.9723766, 30.2210608]",59.9723766,30.2210608
Salt Lake Stadium,68000,South Asia,India,Kolkata,Salt Lake Stadium,"[22.5690604, 88.4090201]",22.5690604,88.4090201
National Stadium,68000,East Asia,Japan,Tokyo,National Stadium,"[35.6778596, 139.7135142]",35.6778596,139.7135142
TIAA Bank Field,67814,North America,United States,Jacksonville - Florida,TIAA Bank Field,"[30.3321838, -81.655651]",30.3321838,-81.655651
Orange Vélodrome,67394,Europe,France,Marseille,Orange Vélodrome,"[43.269835, 5.3959117]",43.269835,5.3959117
Puskás Aréna,67215,Europe,Hungary,Budapest,Puskás Aréna,"[47.5031089, 19.0980509]",47.5031089,19.0980509
Scottish Gas Murrayfield Stadium,67144,Europe,Scotland,Edinburgh,Scottish Gas Murrayfield Stadium,"[55.9423132, -3.2408951]",55.9423132,-3.2408951
Stade Mohammed V,67000,Africa,Morocco,Casablanca,Stade Mohammed V,"[33.5828249, -7.6468329]",33.5828249,-7.6468329
